City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Hirara,JP,24.8,125.2833,84.11,73,24,4.05,few clouds
280,Lincoln,US,40.8,-96.667,85.01,39,0,12.66,clear sky
281,Santa Barbara,US,34.7333,-120.0343,92.34,42,0,10.36,clear sky
282,Boa Vista,BR,2.8197,-60.6733,80.58,78,75,5.75,broken clouds
283,Lavrentiya,RU,65.5833,-171.0,44.55,87,100,4.56,overcast clouds
284,Waipawa,NZ,-41.4122,175.5153,47.48,85,41,2.28,scattered clouds
285,Glace Bay,CA,46.1969,-59.957,75.27,64,40,6.91,scattered clouds
286,Winneba,GH,5.3511,-0.6231,75.07,83,89,15.19,overcast clouds
287,Vesyegonsk,RU,58.664,37.2604,60.53,98,100,6.44,overcast clouds
288,Tonj,SS,7.2737,28.6822,68.68,97,96,1.54,overcast clouds
289,Kemijarvi,FI,66.7131,27.4306,49.8,85,100,9.6,overcast clouds
290,Ilek,RU,51.5271,53.3831,67.89,68,16,6.51,few clouds
291,Zelenogorskiy,RU,55.0333,87.0,56.71,85,96,3.29,overcast clouds
292,Christchurch,NZ,-43.5333,172.6333,40.91,96,100,3.44,overcast clouds
293,Bathsheba,BB,13.2167,-59.5167,86.61,83,40,20.71,scattered clouds
294,Maumere,ID,-8.6199,122.2111,73.31,79,67,5.01,broken clouds
295,Eydhafushi,MV,5.1033,73.0708,81.34,78,89,16.08,overcast clouds
296,Zunyi,CN,27.6867,106.9072,67.89,96,0,0.47,clear sky
297,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,75,6.71,broken clouds
298,Bairiki,KI,1.3292,172.9752,82.4,78,20,10.36,few clouds
299,Yarega,RU,63.4354,53.5765,60.3,67,11,5.48,few clouds
300,Sulecin,PL,52.4443,15.1168,64.89,56,32,5.57,scattered clouds
301,Tikapur,NP,28.5,81.1333,79.86,84,100,3.13,overcast clouds
302,Harper,LR,4.375,-7.7169,74.8,77,100,7.52,overcast clouds
303,Linhares,BR,-19.3911,-40.0722,70.81,72,56,8.7,broken clouds
304,Jambi,ID,-1.6,103.6167,72.99,92,94,2.98,overcast clouds
