City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Hay River,CA,62.58,light rain,60.8156,-115.7999,Ptarmigan Inn
333,Ankazoabo,MG,61.99,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
335,Huarmey,PE,67.82,few clouds,-10.0681,-78.1522,Hotel Miramar
338,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
339,Coroico,BO,75.54,overcast clouds,-16.1889,-67.7271,Villa Saracena
340,Beira,MZ,69.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
341,Hasaki,JP,77.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
345,Grand-Santi,GF,77.77,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
347,Labuhan,ID,75.65,broken clouds,-6.8844,112.2051,DoubleFAG
349,Malanje,AO,67.68,broken clouds,-9.5402,16.341,Hotel Ginga
351,Beloha,MG,63.59,clear sky,-25.1667,45.05,
355,Norman Wells,CA,64.44,scattered clouds,65.282,-126.8329,Heritage Hotel
356,Royan,FR,68.85,overcast clouds,45.6285,-1.0281,CERISE Royan - Le Grand Hôtel de la Plage
357,Camopi,GF,77.41,very heavy rain,3.1655,-52.3158,La pousada
358,Puerto Del Rosario,ES,74.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
359,Warrington,GB,65.62,scattered clouds,53.3925,-2.5802,Villaggio Hotel
363,Tommot,RU,66.09,overcast clouds,58.9564,126.2925,Gostinitsa Tommot
369,Coutances,FR,63.55,overcast clouds,49.05,-1.4333,Hotel La Pocatiere
370,Talbahat,IN,79.57,overcast clouds,25.05,78.4333,PWD Guest House
371,Manono,CD,78.78,broken clouds,-7.3,27.4167,Hotel hewa bora
372,Koulamoutou,GA,76.66,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
373,Mandan,US,74.57,scattered clouds,46.8267,-100.8896,Twin City Estates
374,Angoche,MZ,69.6,light rain,-16.2325,39.9086,Guest House HESADA
380,Kieta,PG,78.66,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
381,Pedasi,PA,76.6,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
382,Bien Hoa,VN,78.78,clear sky,10.95,106.8167,OYO 991 Duy Anh Hotel
386,Hambantota,LK,77.56,overcast clouds,6.1241,81.1185,Bungalow 63
392,Half Moon Bay,US,79.11,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
395,El Alto,PE,69.46,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
399,Zhigansk,RU,67.95,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
401,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
